other_country,focus_country,val
ITA,DNK,5530207
LTU,DNK,58361
LVA,DNK,73732
MLT,DNK,2339
NLD,DNK,20712427
NOR,DNK,8493521
POL,DNK,10869498
PRT,DNK,18023
ROU,DNK,42880
SVK,DNK,10001
SVN,DNK,4542
SWE,DNK,51229261
CAN,DNK,16739
MEX,DNK,3165
TTO,DNK,3242
USA,DNK,170471
AUS,DNK,2838
NZL,DNK,3504
BRA,DNK,89420
PER,DNK,3387
MDG,JPN,112671
ARE,JPN,187741
CHN,JPN,26620552
HKG,JPN,3151467
IDN,JPN,219162
IND,JPN,1038
ISR,JPN,1171503
KOR,JPN,34573956
LKA,JPN,13525
MYS,JPN,20525448
PHL,JPN,220593
SGP,JPN,160880231
THA,JPN,13814007
TUR,JPN,655609
VNM,JPN,1251543
XXB,JPN,17842
AUT,JPN,3608969
BGR,JPN,292098
BEL,JPN,66213393
CHE,JPN,13963809
CZE,JPN,1111919
DEU,JPN,13478444
DNK,JPN,292711
ESP,JPN,4567500
FIN,JPN,4067466
FRA,JPN,40563643
GBR,JPN,3089522
GRC,JPN,228201
HRV,JPN,47329
HUN,JPN,227049
IRL,JPN,24057
ITA,JPN,21241984
LTU,JPN,18465
LVA,JPN,143974
NLD,JPN,6202714
NOR,JPN,76995
POL,JPN,1811389
PRT,JPN,29710
ROU,JPN,48688
RUS,JPN,3276
SRB,JPN,7255
SVN,JPN,3353
SWE,JPN,627423
UKR,JPN,79358
CAN,JPN,5927298
MEX,JPN,767390
USA,JPN,54823268
AUS,JPN,31410260
FJI,JPN,33975
NCL,JPN,233176
NZL,JPN,269026
PYF,JPN,3867
ARG,JPN,7062837
BOL,JPN,6022
BRA,JPN,616769
COL,JPN,529280
ECU,JPN,115063
PER,JPN,140664
VEN,JPN,73572
EGY,HKG,20315
ARE,HKG,2464545
CHN,HKG,79294003
IDN,HKG,670863
IND,HKG,8400556
ISR,HKG,552104
JPN,HKG,23099221
KOR,HKG,5933860
LBN,HKG,50792
MAC,HKG,289014
MYS,HKG,9799009
PHL,HKG,823951
SAU,HKG,123016
SGP,HKG,12304520
THA,HKG,581688
TUR,HKG,3018223
VNM,HKG,471860
XXB,HKG,1451436
AUT,HKG,45301
BGR,HKG,358414
BLR,HKG,6605
BEL,HKG,30880595
CHE,HKG,7477252
CZE,HKG,13641
DEU,HKG,40565212
DNK,HKG,998458
ESP,HKG,666886
EST,HKG,104117
FIN,HKG,2119
FRA,HKG,8950311
GBR,HKG,9348005
GRC,HKG,43959
HRV,HKG,16138
HUN,HKG,176023
IRL,HKG,183142
ITA,HKG,62109185
LTU,HKG,521269
LVA,HKG,198252
NLD,HKG,46992095
NOR,HKG,19524
POL,HKG,6315469
PRT,HKG,45016
ROU,HKG,461345
RUS,HKG,45413
SRB,HKG,4067
SWE,HKG,357923
UKR,HKG,62308
CAN,HKG,497212
DOM,HKG,156724
MEX,HKG,14350
USA,HKG,24485900
AUS,HKG,9306182
NZL,HKG,621780
BRA,HKG,251521
COL,HKG,7675
ECU,HKG,16609
PER,HKG,3956
CIV,SAU,267870
EGY,SAU,44750400
TUN,SAU,319791
ZAF,SAU,182854
ARE,SAU,180797826
BHR,SAU,2651747
CHN,SAU,7561160
IDN,SAU,917334
IND,SAU,13555326
JOR,SAU,938346
JPN,SAU,3239
KOR,SAU,73773
KWT,SAU,1241049
LBN,SAU,22825895
LKA,SAU,21430
MYS,SAU,2053291
OMN,SAU,811432
PHL,SAU,237275
QAT,SAU,36263
SGP,SAU,494189
SYR,SAU,143734
THA,SAU,96879
TUR,SAU,32323417
XXB,SAU,5597
AUT,SAU,74538
BGR,SAU,1455875
BIH,SAU,7489
