focus_country,other_country,val
ITA,ZMB,35821
ITA,ZWE,3004
ITA,AFG,634485
ITA,ARE,55502883
ITA,ARM,4228218
ITA,AZE,3397411
ITA,BGD,98836
ITA,BHR,4226820
ITA,BRN,164914
ITA,CHN,106686667
ITA,CYP,6297785
ITA,GEO,3981229
ITA,HKG,62109185
ITA,IDN,353332
ITA,IND,8023177
ITA,IRN,129084
ITA,IRQ,491410
ITA,ISR,11966431
ITA,JOR,7909147
ITA,JPN,21241984
ITA,KAZ,943283
ITA,KGZ,568975
ITA,KHM,20381
ITA,KOR,23649795
ITA,KWT,14746461
ITA,LAO,2382
ITA,LBN,10858026
ITA,LKA,545016
ITA,MAC,55949
ITA,MDV,91693
ITA,MMR,9377
ITA,MNG,675851
ITA,MYS,10497110
ITA,NPL,21510
ITA,OMN,9158578
ITA,PAK,569535
ITA,PHL,914275
ITA,PSE,40045
ITA,QAT,7299135
ITA,SAU,37009197
ITA,SGP,26664772
ITA,SYR,24703
ITA,THA,8735349
ITA,TJK,336416
ITA,TKM,438328
ITA,TUR,14662261
ITA,UZB,1102445
ITA,VNM,187152
ITA,XXB,21652386
ITA,YEM,1124335
ITA,ALB,2165071
ITA,AUT,22470506
ITA,BGR,3279770
ITA,BIH,3229060
ITA,BLR,658536
ITA,BEL,80645168
ITA,CHE,21735268
ITA,CZE,20227409
ITA,DEU,112311635
ITA,DNK,5530207
ITA,ESP,91059171
ITA,EST,1159535
ITA,FIN,5661467
ITA,FRA,270762410
ITA,GBR,103222620
ITA,GIB,16184
ITA,GRC,14710255
ITA,HRV,9503768
ITA,HUN,17602588
ITA,IRL,5514084
ITA,ISL,502303
ITA,LTU,3039864
ITA,LVA,953251
ITA,MDA,440477
ITA,MKD,1393783
ITA,MLT,9237740
ITA,MNE,1089620
ITA,NLD,77195274
ITA,NOR,3456104
ITA,POL,69335216
ITA,PRT,31327771
ITA,ROU,9476833
ITA,RUS,57885100
ITA,SRB,4309799
ITA,SVK,4001858
ITA,SVN,13973319
ITA,SWE,8297230
ITA,UKR,3360342
ITA,ABW,47056
ITA,BHS,4465
ITA,BLM,1110
ITA,BMU,2904
ITA,BRB,19473
ITA,CAN,19602684
ITA,CRI,342244
ITA,CUB,50124
ITA,CYM,24832
ITA,DOM,794906
ITA,GRL,48477
ITA,GTM,79892
ITA,HND,12512
ITA,MAF,2359
ITA,MEX,3967992
ITA,NIC,29319
ITA,PAN,63914
ITA,SLV,106594
ITA,TTO,45083
ITA,USA,39583135
ITA,VCT,1311
ITA,VGB,1114
ITA,AUS,34574261
ITA,NCL,1494332
ITA,NZL,2201880
ITA,PYF,1797091
ITA,ARG,3971305
ITA,BOL,119648
ITA,BRA,14681847
ITA,CHL,4252452
ITA,COL,3844397
ITA,ECU,2973762
ITA,PER,2777117
ITA,PRY,259562
ITA,URY,456657
ITA,VEN,388207
NLD,AGO,251089
NLD,BDI,16215
NLD,BEN,18224
NLD,BFA,3723
NLD,CIV,209145
NLD,CMR,148901
NLD,COD,1131
NLD,COG,190126
NLD,CPV,211787
NLD,DJI,348809
NLD,DZA,9109273
NLD,EGY,7961980
NLD,ETH,699447
NLD,GHA,3594120
NLD,GIN,12653
NLD,GMB,62689
NLD,GNQ,51685
NLD,KEN,682839
NLD,LBR,1899509
NLD,LBY,7673833
NLD,MAR,3756562
NLD,MDG,110721
NLD,MLI,75662
NLD,MOZ,62839
NLD,MRT,6766
NLD,MUS,958230
NLD,MWI,104201
NLD,NGA,2531299
NLD,RWA,25011
NLD,SDN,257215
NLD,SEN,206347
NLD,SLE,83662
